s,t,s1,s2,s3,s4,t1,t2,t3,t4
17052,5215,7,0,2,0,8,0,0,1
14353,8562,1,0,0,0,2,1,3,0
12894,12117,9,0,0,0,6,0,1,0
15934,17403,1,0,0,0,1,0,0,0
7645,730,8,0,0,0,6,0,0,0
403,13175,70,0,2,0,7,0,0,0
15915,16187,1,0,0,0,27,0,13,4
7345,3376,1,0,0,0,1,0,0,0
6044,881,1,0,0,0,1,0,0,0
8117,1230,1,0,0,0,2,0,0,0
17172,1350,3,3,9,12,3,0,0,1
13954,9178,92,0,5,7,12,0,0,0
9637,13758,1,0,0,0,1,0,0,0
11018,1265,1,0,0,0,27,1,6,1
12589,10950,1,0,0,0,1,0,0,0
3082,16507,1,0,4,0,1,1,0,0
5929,9759,147,0,20,13,2,0,0,0
7939,3603,79,8,9,1,21,0,5,3
14735,2847,15,0,1,0,5,0,0,0
15747,10631,4,0,0,1,7,0,0,1
376,3826,1,0,0,0,2,0,0,0
2804,8918,25,0,0,0,114,3,0,13
17272,17216,1,1,0,0,1,0,0,0
5328,723,1,0,0,0,2,0,0,0
1072,7798,121,16,29,34,5,21,2,4
1110,13063,16,1,19,2,17,0,2,0
182,3056,1,1,0,0,1,0,0,0
6807,6638,59,0,2,0,2,0,1,1
8270,11109,1,0,0,0,6,0,0,0
6825,1072,2,0,0,0,121,16,29,34
2676,14299,1,0,0,0,7,2,4,0
7514,6282,20,0,19,18,2,0,0,0
11221,4098,2,0,1,0,16,0,0,0
13663,13825,1,0,0,0,14,2,5,1
11010,7271,3,0,3,0,10,0,20,0
9125,7612,5,1,5,0,2,0,0,0
14986,14056,1,0,0,0,5,0,0,3
9726,13381,1,0,0,0,1,0,0,0
13066,5553,2,0,0,0,2,0,0,0
12045,9028,4,0,0,0,25,0,0,0
5929,9790,147,0,20,13,1,0,3,5
9049,16580,1,0,0,0,4,0,0,0
8517,15598,19,0,1,4,2,0,0,0
2319,5793,6,0,1,0,143,0,6,4
5972,12037,2,0,0,1,1,2,0,0
6402,9061,4,0,0,9,1,0,1,0
16839,9590,9,0,2,1,1,0,1,0
182,3031,1,1,0,0,1,0,0,0
5761,13427,94,3,38,164,7,0,0,0
1226,1351,139,0,0,0,7,0,0,0
11455,14486,1,0,0,0,5,0,0,1
8278,15072,38,0,0,0,107,0,5,2
1310,6438,1,0,0,0,46,0,0,1
5794,6166,6,0,0,0,1,0,0,0
9739,5095,3,0,0,0,9,2,0,1
2247,6252,1,3,0,0,1,0,0,0
16966,13122,1,0,0,0,1,0,0,0
3102,2428,19,0,14,1,1,0,0,0
10527,16413,5,0,0,0,1,0,0,0
1763,15358,1,0,0,0,1,0,0,1
12505,15969,12,2,14,4,1,0,1,0
16672,15072,2,0,0,0,107,0,5,2
8918,14754,114,3,0,13,5,2,0,0
17073,14546,22,0,9,2,1,0,2,0
2041,5595,8,0,0,0,2,0,0,0
11753,9841,1,0,0,0,1,0,0,0
2586,12267,3,3,12,48,10,3,5,49
10983,16821,3,4,0,0,1,0,0,0
17243,11255,118,0,1,3,57,1,2,0
9921,3784,1,0,0,0,1,0,0,0
4763,14254,1,0,2,0,1,0,0,0
508,13483,39,0,1,0,7,0,0,0
5793,12988,143,0,6,4,44,0,5,0
13497,5483,11,0,0,0,89,1,6,3
11222,2572,1,0,0,0,1,0,0,0
11182,17190,9,0,0,0,1,0,0,0
13009,2394,3,1,0,0,1,0,0,1
7572,5386,8,0,1,0,83,2,1,0
4259,5452,5,0,0,1,3,3,6,9
14368,1227,85,1,1,2,22,2,5,0
3649,9308,3,0,1,1,82,2,15,1
4419,10718,1,0,0,0,1,0,0,0
12566,3047,5,0,1,7,74,1,13,57
677,17288,12,0,2,0,9,0,0,0
15011,2226,13,0,0,0,1,0,0,0
14287,16494,1,0,0,0,1,0,0,0
7811,2666,4,1,0,2,2,0,0,0
13144,7750,5,0,2,0,63,0,24,2
16177,13329,17,50,11,2,4,3,1,0
4532,2505,3,0,0,0,3,0,0,0
403,200,70,0,2,0,1,0,0,0
7998,9281,18,0,4,0,1,0,0,0
4102,9325,1,0,0,0,1,0,0,0
10242,12054,1,0,0,0,10,0,0,0
7670,7150,1,0,0,0,1,0,0,0
9689,2248,38,0,2,2,1,1,0,0
3103,9401,1,1,0,0,18,1,7,0
14222,11588,142,25,60,238,48,3,2,1
13524,7573,34,0,0,0,40,7,0,0
15777,435,2,0,2,5,7,0,13,14
1499,15993,3,0,0,0,3,0,0,0
11597,5036,1,0,0,0,5,0,1,7
13893,13838,81,0,3,11,8,2,1,0
13806,5352,4,2,5,7,68,5,5,9
9844,8255,154,1,5,7,15,0,1,1
4605,8708,2,0,0,0,72,1,3,13
6233,6107,5,0,1,2,13,0,3,1
13093,6320,2,0,0,0,3,0,0,0
4844,13996,1,0,0,0,1,0,0,0
5911,2257,8,0,0,1,4,0,0,0
3420,10574,33,0,0,0,1,0,0,0
17393,2960,9,0,3,1,5,2,2,3
14666,14612,30,4,7,4,7,1,4,8
1613,2381,38,34,24,12,3,1,0,1
12596,13477,26,2,0,1,1,0,0,0
9844,8256,154,1,5,7,2,1,12,0
17427,9226,3,0,0,0,1,0,0,0
3672,13513,2,0,0,0,29,0,10,0
1146,12132,62,0,10,2,1,0,0,0
17080,17200,86,0,8,21,65,2,16,1
7790,3115,4,0,2,0,3,0,0,0
13574,9308,34,0,0,0,82,2,15,1
6830,13449,4,0,0,0,3,0,0,0
11625,11376,5,1,6,1,1,0,0,0
14472,6044,7,0,1,0,1,0,0,0
